Event Name,Event ID
540,Mexico Open at Vidanta
Magical Kenya Open,2024110
NMB Championship,2024303
International Series Oman,10294
10289,Dream Valley Group presents Vooty Masters
624,Trophy Hassan II
Golf Mad Open,10287
10292,GolfStar Winter Series - Forest
10288,Ein Bay Open
GolfStar Winter Series - Links,10286
7,The Genesis Invitational
"Webex Players Series Hunter Valley, Hosted by Jan Stephenson & Peter O'Malley",10285
IRS Prima Malaysian Open,10284
10283,Singha E-San Open
Dimension Data Pro-Am,2024302
552,Chubb Classic
10280,Tata Steel PGTI Players Championship 2024 presented by Tollygunge Club
2024301,Bain's Whisky Cape Town Open
WM Phoenix Open,3
2024147,Commercial Bank Qatar Masters
Webex Players Series Sydney Hosted by Braith Anasta,10279
104,Astara Golf Championship presented by Mastercard
Las Vegas,25
Vic Open,10274
2024300,SDC Open
24,Mayakoba
5,AT&T Pebble Beach Pro-Am
The Panama Championship,84
2024109,Bahrain Championship presented by Bapco Energies
Red Sea Egyptian Classic,10273
10266,10th Boonchu Ruangkit Championship
10267,Webex Players Series Hosted by Geoff Ogilvy
Mediclinic Invitational,10268
Ras Al Khaimah Championship,2024108
Farmers Insurance Open,4
Red Sea Ain Sokhna Open,10262
125,The Bahamas Great Abaco Classic at The Abaco Club
10261,Webex Players Series Murray River in honour of Jarrod Lyle
2024107,Hero Dubai Desert Classic
The American Express,2
El Salvador Open Championship,10257
524,Mitsubishi Electric Championship at Hualalai
10256,Altron Big Easy Tour 9
The Bahamas Great Exuma Classic at Sandals Emerald Bay,124
6,Sony Open in Hawaii
2024106,Dubai Invitational
Heritage Classic,10254
Altron Big Easy Tour 8,10255
16,The Sentry
AfrAsia Bank Mauritius Open,2024105
Saudi Open presented by Public Investment Fund,10250
88,PGA TOUR Q-School presented by Korn Ferry
10246,Bhawani Singh Rathore presents Jaipur Open powered by AU Small Finance Bank
10248,Altron Big Easy Tour 7
2024104,Alfred Dunhill Championship
Promotions Event,23
CGA Championship,10241
10243,51st Thailand Open
10245,E5 - El Jaguar Golf Open Presented by Inmobilia
10242,SSP Chawrasia Invitational presented by TAKE Sports
10235,Golf Nippon Series JT Cup
ISPS Handa Australian Open,2024102
Investec South African Open Championship,2024103
10236,Taiwan Glass Taifong Open
Hero World Challenge #2,550
10238,Kapil Dev - Grant Thornton Invitational presented by DLF
10237,Saudi Aramco Invitational
2024100,Fortinet Australian PGA Championship
10231,24th Singha Thailand Masters
Chongqing Open,10229
Joburg Open,2024101
