Player,Finish
"Berger, Daniel",1
"McNealy, Maverick",2
"Spieth, Jordan",T3
"Cantlay, Patrick",T3
"Lashley, Nate",T5
"Casey, Paul",T5
"Day, Jason",T7
"Knox, Russell",T7
"Tringale, Cameron",T7
"Hoffman, Charley",T7
"Homa, Max",T7
"Hoge, Tom",12
"Streelman, Kevin",13
"Lewis, Tom",T14
"Davis, Cameron",T14
"Stuard, Brian",T16
"Reavie, Chez",T16
"Kirk, Chris",T16
"Merritt, Troy",T16
"NeSmith, Matthew",T16
"Percy, Cameron",T21
"Taylor, Vaughn",T21
"Ghim, Doug",T21
"Furyk, Jim",T21
"Gordon, Will",T21
"Perez, Pat",T26
"Dufner, Jason",T26
"Moore, Ryan",T26
"Norlander, Henrik",T26
"Wilkinson, Tim",T30
"Brown, Scott",T30
"Bhatia, Akshay",T30
"Stallings, Scott",T30
"Jones, Matt",T34
"Thompson, Michael",T34
"Gay, Brian",T34
"Steele, Brendan",T34
"Grace, Branden",T34
"Senden, John",T39
"Harman, Brian",T39
"Stanley, Kyle",T39
"Taylor, Nick",T39
"Kizzire, Patton",T39
"Oppenheim, Rob",T39
"Burns, Sam",T39
"Lebioda, Hank",T39
"Hossler, Beau",T47
"Armour, Ryan",T47
"Burgoon, Bronson",T47
"Teater, Josh",T50
"Vegas, Jhonattan",T50
"Whaley, Vincent",T50
"Piercy, Scott",T50
"Taylor, Ben",T50
"Hubbard, Mark",T55
"Zalatoris, Will",T55
"Putnam, Andrew",T55
"Cappelen, Sebastian",T55
"Molinari, Francesco",59
"Sucher, Zack",T60
"Dahmen, Joel",T60
"Uihlein, Peter",T60
"Bramlett, Joseph",T63
"Kang, Sung",T63
"Pan, C.T.",65
"Harrington, Scott",66
"Roach, Wes",67
"Mahan, Hunter",CUT
"Anderson, Mark",CUT
"Castro, Roberto",CUT
"Hoag, Bo",CUT
"Kim, Si Woo",CUT
"Varner III, Harold",CUT
"Cook, Austin",CUT
"Baddeley, Aaron",CUT
"Trahan, D.J.",CUT
"Walker, Jimmy",CUT
"Gomez, Fabian",CUT
"Potter, Jr., Ted",CUT
"Power, Seamus",CUT
"Kodaira, Satoshi",CUT
"Ledesma, Nelson",CUT
"Long, Adam",CUT
"Rodgers, Patrick",CUT
"McCarthy, Denny",CUT
"Sabbatini, Rory",CUT
"Aphibarnrat, Kiradech",CUT
"Kraft, Kelly",CUT
"Kim, Michael",CUT
"Hagy, Brandon",CUT
"Donald, Luke",CUT
"Blaum, Ryan",CUT
"Brehm, Ryan",CUT
"Zhang, Xinjun",CUT
"Chappell, Kevin",CUT
"Baker, Chris",CUT
"Sloan, Roger",CUT
"Higgs, Harry",CUT
"Malnati, Peter",CUT
"Trainer, Martin",CUT
"Riley, Davis",CUT
"Points, D.A.",CUT
"Stadler, Kevin",CUT
"Haas, Bill",CUT
"Bae, Sangmoon",CUT
"Garnett, Brice",CUT
"Hadley, Chesson",CUT
"McCumber, Tyler",CUT
"Duncan, Tyler",CUT
"Lehman, Tom",CUT
"O'Hair, Sean",CUT
"Campos, Rafael",CUT
"Holmes, J.B.",CUT
"Noh, Seung-Yul",CUT
"Fowler, Rickie",CUT
"Gibson, Rhein",CUT
"Choi, K.J.",CUT
"Hearn, David",CUT
"Wagner, Johnson",CUT
"Martin, Ben",CUT
"Stefani, Shawn",CUT
"Gellerman, Michael",CUT
"Barnes, Ricky",CUT
"Byrd, Jonathan",CUT
"Cabrera Bello, Rafa",CUT
"Murray, Grayson",CUT
"Bozzelli, Dominic",CUT
"Ogletree, Andy",CUT
"Cink, Stewart",CUT
"Pampling, Rod",CUT
"Landry, Andrew",CUT
"Herman, Jim",CUT
"Gligic, Michael",CUT
"Lee, Min Woo",CUT
"Mitchell, Keith",CUT
"Hahn, James",CUT
"Ventura, Kristoffer",CUT
"Seiffert, Chase",CUT
"Watney, Nick",CUT
"Knous, Jim",CUT
"Snedeker, Brandt",CUT
"Noren, Alex",CUT
"Schenk, Adam",CUT
"Duval, David",CUT
"Ryder, Sam",CUT
"Spaun, J.J.",CUT
"Hickok, Kramer",CUT
"Gogel, Matt",CUT
"Hall, Kevin",CUT
"Van Pelt, Bo",CUT
"Mickelson, Phil",CUT
"Chalmers, Greg",CUT
"Pigman, Kenny",CUT
"Daly, John",CUT
"Johnson, Kamaiu",CUT
"Every, Matt",WD
