Player Name,Win,Top 5,Top 10,Top 15,Top 20,Top 30,Make Cut
"Scheffler, Scottie",8.92,2.97,2.01,1.63,1.44,1.23,1.07
"McIlroy, Rory",15.67,4.3,2.64,2.01,1.7,1.37,1.1
"Schauffele, Xander",19.42,4.91,2.91,2.19,1.82,1.43,1.12
"Hovland, Viktor",23.21,5.51,3.19,2.35,1.93,1.49,1.13
"Morikawa, Collin",24.24,5.74,3.28,2.43,1.99,1.52,1.14
"Cantlay, Patrick",27.05,6.2,3.47,2.52,2.04,1.53,1.14
"Burns, Sam",30.53,6.85,3.79,2.71,2.17,1.62,1.16
"Aberg, Ludvig",38.94,8.18,4.37,3.05,2.4,1.73,1.18
"Fleetwood, Tommy",39.92,8.3,4.36,3.02,2.37,1.71,1.18
"Young, Cameron",40.76,8.69,4.56,3.18,2.48,1.77,1.19
"Thomas, Justin",42.83,8.69,4.56,3.17,2.47,1.77,1.19
"Lee, Min Woo",46.62,9.48,4.92,3.38,2.62,1.85,1.21
"Spieth, Jordan",47.92,9.42,4.78,3.3,2.57,1.82,1.2
"Kim, Tom",48.19,9.61,4.92,3.36,2.6,1.84,1.2
"Homa, Max",48.47,9.36,4.76,3.26,2.52,1.79,1.19
"Fitzpatrick, Matt",48.54,9.65,4.92,3.35,2.58,1.81,1.2
"An, Byeong Hun",48.74,9.78,4.98,3.4,2.61,1.83,1.2
"Henley, Russell",60.36,11.05,5.47,3.68,2.79,1.92,1.21
"Zalatoris, Will",69.93,13.37,6.53,4.29,3.21,2.17,1.27
"Conners, Corey",71.68,12.19,5.85,3.89,2.94,1.99,1.23
"Poston, J.T.",77.82,13.61,6.38,4.17,3.1,2.07,1.24
"Scott, Adam",78.02,13.76,6.63,4.35,3.23,2.13,1.26
"Im, Sungjae",81.08,14.18,6.66,4.3,3.19,2.1,1.25
"Day, Jason",81.41,14.14,6.8,4.43,3.3,2.19,1.28
"Hadwin, Adam",82.53,14.45,6.87,4.49,3.32,2.19,1.27
"Cole, Eric",86.58,14.92,6.94,4.42,3.25,2.14,1.25
"Theegala, Sahith",86.96,14.83,6.95,4.47,3.31,2.18,1.26
"Pavon, Matthieu",87.72,15.41,7.22,4.63,3.38,2.21,1.27
"Lowry, Shane",91.46,15.53,7.28,4.71,3.46,2.23,1.27
"Hojgaard, Nicolai",91.88,15.9,7.39,4.74,3.46,2.25,1.28
"Kim, Si Woo",96.15,15.34,7.09,4.54,3.33,2.17,1.26
"Hoge, Tom",96.31,15.71,7.35,4.76,3.46,2.23,1.27
