Player Name,Course Name,Year Played,Date Completed,Round 1 Score,Round 2 Score,Round 3 Score,Round 4 Score,Round 1 SG Total,Round 2 SG Total,Round 3 SG Total,Round 4 SG Total,Round 1 SG App,Round 2 SG App,Round 3 SG App,Round 4 SG App,Round 1 SG Arg,Round 2 SG Arg,Round 3 SG Arg,Round 4 SG Arg,Round 1 SG Putt,Round 2 SG Putt,Round 3 SG Putt,Round 4 SG Putt,Round 1 Driving Distance,Round 2 Driving Distance,Round 3 Driving Distance,Round 4 Driving Distance,Round 1 Driving Accuracy,Round 2 Driving Accuracy,Round 3 Driving Accuracy,Round 4 Driving Accuracy
"Rahm, Jon",Torrey Pines (South),2021,2021-06-20,69,70,72,67,4.718,3.787,0.408,6.169,0.35,1.26,0.77,2.61,0.94,1.3,0.3,-0.27,1.51,1.33,-1.7,2.48,311.5,315.7,316.8,323.1,0.714,0.357,0.429,0.571
"Oosthuizen, Louis",Torrey Pines (South),2021,2021-06-20,67,71,70,71,6.718,2.787,2.408,2.169,1.27,0.06,0.21,1.35,1.52,0.87,-0.26,0.33,3.16,1.33,1.95,1.0,301.6,304.8,303.2,304.9,0.643,0.5,0.571,0.571
"English, Harris",Torrey Pines (South),2021,2021-06-20,72,70,71,68,1.718,3.787,1.408,5.169,0.82,2.08,0.64,0.42,2.65,0.95,0.17,0.06,-0.69,0.87,0.17,3.7,292.4,299.9,295.7,303.4,0.357,0.357,0.643,0.643
"Koepka, Brooks",Torrey Pines (South),2021,2021-06-20,69,73,71,69,4.718,0.787,1.408,4.169,1.37,0.96,0.32,1.97,-0.59,-0.52,0.58,0.67,3.02,0.4,-0.6,0.06,312.3,308.0,315.3,313.2,0.571,0.357,0.571,0.571
"Migliozzi, Guido",Torrey Pines (South),2021,2021-06-20,71,70,73,68,2.718,3.787,-0.592,5.169,2.5,3.15,-0.87,-0.09,0.95,1.92,-0.47,2.54,-0.58,-1.8,-0.01,2.2,299.2,304.6,303.9,301.8,0.357,0.357,0.643,0.5
"Morikawa, Collin",Torrey Pines (South),2021,2021-06-20,75,67,70,70,-1.282,6.787,2.408,3.169,0.05,1.98,1.05,2.76,0.27,0.74,-0.25,0.0,-2.52,2.47,0.81,-1.18,299.2,300.7,305.9,306.5,0.714,0.786,0.571,0.786
"Casey, Paul",Torrey Pines (South),2021,2021-06-20,71,75,67,70,2.718,-1.213,5.408,3.169,0.01,0.61,2.38,1.55,0.51,1.01,-0.1,1.83,0.42,-2.53,3.16,-0.91,311.6,302.9,307.5,308.0,0.714,0.429,0.429,0.571
"McIlroy, Rory",Torrey Pines (South),2021,2021-06-20,70,73,67,73,3.718,0.787,5.408,0.169,-0.01,-0.13,2.5,2.07,1.72,0.48,2.38,-0.29,0.67,-0.97,0.02,-2.06,323.8,314.8,317.7,318.2,0.429,0.643,0.571,0.429
"Grace, Branden",Torrey Pines (South),2021,2021-06-20,72,70,74,67,1.718,3.787,-1.592,6.169,2.31,1.76,0.95,1.37,1.05,2.28,1.05,0.46,-3.3,-0.24,-2.93,3.85,304.8,302.7,301.8,303.5,0.786,0.357,0.571,0.214
"Berger, Daniel",Torrey Pines (South),2021,2021-06-20,71,72,72,68,2.718,1.787,0.408,5.169,2.04,1.65,0.71,1.44,0.32,-0.35,1.1,-0.17,0.76,-0.28,-2.04,3.63,289.9,293.8,297.3,299.4,0.571,0.714,0.714,0.429
