Player Name,Course Name,Year Played,Date Completed,Round Score,Round SG Total,Round SG App,Round SG Arg,Round SG Putt,Round Driving Distance,Round Driving Accuracy
"Rahm, Jon",Torrey Pines (South),2021,2021-06-20,69,4.718,0.35,0.94,1.51,311.5,0.714
"Rahm, Jon",Torrey Pines (South),2021,2021-06-20,70,3.787,1.26,1.3,1.33,315.7,0.357
"Rahm, Jon",Torrey Pines (South),2021,2021-06-20,72,0.408,0.77,0.3,-1.7,316.8,0.429
"Rahm, Jon",Torrey Pines (South),2021,2021-06-20,67,6.169,2.61,-0.27,2.48,323.1,0.571
"Oosthuizen, Louis",Torrey Pines (South),2021,2021-06-20,67,6.718,1.27,1.52,3.16,301.6,0.643
"Oosthuizen, Louis",Torrey Pines (South),2021,2021-06-20,71,2.787,0.06,0.87,1.33,304.8,0.5
"Oosthuizen, Louis",Torrey Pines (South),2021,2021-06-20,70,2.408,0.21,-0.26,1.95,303.2,0.571
"Oosthuizen, Louis",Torrey Pines (South),2021,2021-06-20,71,2.169,1.35,0.33,1.0,304.9,0.571
"English, Harris",Torrey Pines (South),2021,2021-06-20,72,1.718,0.82,2.65,-0.69,292.4,0.357
"English, Harris",Torrey Pines (South),2021,2021-06-20,70,3.787,2.08,0.95,0.87,299.9,0.357
"English, Harris",Torrey Pines (South),2021,2021-06-20,71,1.408,0.64,0.17,0.17,295.7,0.643
"English, Harris",Torrey Pines (South),2021,2021-06-20,68,5.169,0.42,0.06,3.7,303.4,0.643
"Koepka, Brooks",Torrey Pines (South),2021,2021-06-20,69,4.718,1.37,-0.59,3.02,312.3,0.571
"Koepka, Brooks",Torrey Pines (South),2021,2021-06-20,73,0.787,0.96,-0.52,0.4,308.0,0.357
"Koepka, Brooks",Torrey Pines (South),2021,2021-06-20,71,1.408,0.32,0.58,-0.6,315.3,0.571
"Koepka, Brooks",Torrey Pines (South),2021,2021-06-20,69,4.169,1.97,0.67,0.06,313.2,0.571
"Migliozzi, Guido",Torrey Pines (South),2021,2021-06-20,71,2.718,2.5,0.95,-0.58,299.2,0.357
"Migliozzi, Guido",Torrey Pines (South),2021,2021-06-20,70,3.787,3.15,1.92,-1.8,304.6,0.357
"Migliozzi, Guido",Torrey Pines (South),2021,2021-06-20,73,-0.592,-0.87,-0.47,-0.01,303.9,0.643
"Migliozzi, Guido",Torrey Pines (South),2021,2021-06-20,68,5.169,-0.09,2.54,2.2,301.8,0.5
"Morikawa, Collin",Torrey Pines (South),2021,2021-06-20,75,-1.282,0.05,0.27,-2.52,299.2,0.714
"Morikawa, Collin",Torrey Pines (South),2021,2021-06-20,67,6.787,1.98,0.74,2.47,300.7,0.786
"Morikawa, Collin",Torrey Pines (South),2021,2021-06-20,70,2.408,1.05,-0.25,0.81,305.9,0.571
"Morikawa, Collin",Torrey Pines (South),2021,2021-06-20,70,3.169,2.76,0.0,-1.18,306.5,0.786
"Casey, Paul",Torrey Pines (South),2021,2021-06-20,71,2.718,0.01,0.51,0.42,311.6,0.714
"Casey, Paul",Torrey Pines (South),2021,2021-06-20,75,-1.213,0.61,1.01,-2.53,302.9,0.429
"Casey, Paul",Torrey Pines (South),2021,2021-06-20,67,5.408,2.38,-0.1,3.16,307.5,0.429
"Casey, Paul",Torrey Pines (South),2021,2021-06-20,70,3.169,1.55,1.83,-0.91,308.0,0.571
"McIlroy, Rory",Torrey Pines (South),2021,2021-06-20,70,3.718,-0.01,1.72,0.67,323.8,0.429
"McIlroy, Rory",Torrey Pines (South),2021,2021-06-20,73,0.787,-0.13,0.48,-0.97,314.8,0.643
"McIlroy, Rory",Torrey Pines (South),2021,2021-06-20,67,5.408,2.5,2.38,0.02,317.7,0.571
"McIlroy, Rory",Torrey Pines (South),2021,2021-06-20,73,0.169,2.07,-0.29,-2.06,318.2,0.429
"Grace, Branden",Torrey Pines (South),2021,2021-06-20,72,1.718,2.31,1.05,-3.3,304.8,0.786
"Grace, Branden",Torrey Pines (South),2021,2021-06-20,70,3.787,1.76,2.28,-0.24,302.7,0.357
"Grace, Branden",Torrey Pines (South),2021,2021-06-20,74,-1.592,0.95,1.05,-2.93,301.8,0.571
"Grace, Branden",Torrey Pines (South),2021,2021-06-20,67,6.169,1.37,0.46,3.85,303.5,0.214
"Berger, Daniel",Torrey Pines (South),2021,2021-06-20,71,2.718,2.04,0.32,0.76,289.9,0.571
"Berger, Daniel",Torrey Pines (South),2021,2021-06-20,72,1.787,1.65,-0.35,-0.28,293.8,0.714
"Berger, Daniel",Torrey Pines (South),2021,2021-06-20,72,0.408,0.71,1.1,-2.04,297.3,0.714
"Berger, Daniel",Torrey Pines (South),2021,2021-06-20,68,5.169,1.44,-0.17,3.63,299.4,0.429
"Scheffler, Scottie",Torrey Pines (South),2021,2021-06-20,72,1.718,0.42,-0.81,4.06,298.1,0.143
"Scheffler, Scottie",Torrey Pines (South),2021,2021-06-20,69,4.787,0.03,0.77,3.48,307.8,0.643
"Scheffler, Scottie",Torrey Pines (South),2021,2021-06-20,70,2.408,0.99,0.63,0.83,304.1,0.571
"Scheffler, Scottie",Torrey Pines (South),2021,2021-06-20,72,1.169,1.07,-1.59,0.1,308.8,0.786
"Schauffele, Xander",Torrey Pines (South),2021,2021-06-20,69,4.718,2.12,1.22,-0.37,318.5,0.643
"Schauffele, Xander",Torrey Pines (South),2021,2021-06-20,71,2.787,1.37,0.59,-0.46,313.6,0.5
"Schauffele, Xander",Torrey Pines (South),2021,2021-06-20,72,0.408,0.95,-0.25,-1.63,318.1,0.643
"Schauffele, Xander",Torrey Pines (South),2021,2021-06-20,71,2.169,-0.52,0.02,0.95,312.6,0.714
"Molinari, Francesco",Torrey Pines (South),2021,2021-06-20,68,5.718,0.26,1.05,3.73,300.6,0.714
"Molinari, Francesco",Torrey Pines (South),2021,2021-06-20,76,-2.213,0.96,1.24,-3.56,297.1,0.286
"Molinari, Francesco",Torrey Pines (South),2021,2021-06-20,69,3.408,0.79,0.92,2.34,299.3,0.429
"Molinari, Francesco",Torrey Pines (South),2021,2021-06-20,71,2.169,0.35,0.34,1.27,303.1,0.429
"Henley, Russell",Torrey Pines (South),2021,2021-06-20,67,6.718,3.01,-0.38,3.8,296.5,0.571
"Henley, Russell",Torrey Pines (South),2021,2021-06-20,70,3.787,1.34,1.45,0.41,302.5,0.643
"Henley, Russell",Torrey Pines (South),2021,2021-06-20,71,1.408,1.19,0.36,0.99,294.2,0.429
"Henley, Russell",Torrey Pines (South),2021,2021-06-20,76,-2.831,0.88,-0.06,-2.61,291.3,0.429
"Streelman, Kevin",Torrey Pines (South),2021,2021-06-20,71,2.718,2.07,1.09,0.64,292.2,0.286
"Streelman, Kevin",Torrey Pines (South),2021,2021-06-20,69,4.787,0.41,2.0,1.73,296.9,0.643
"Streelman, Kevin",Torrey Pines (South),2021,2021-06-20,72,0.408,1.88,-1.02,-0.72,299.7,0.571
"Streelman, Kevin",Torrey Pines (South),2021,2021-06-20,73,0.169,-1.31,1.34,1.16,291.0,0.429
"Cantlay, Patrick",Torrey Pines (South),2021,2021-06-20,70,3.718,-1.91,2.05,2.24,310.4,0.571
"Cantlay, Patrick",Torrey Pines (South),2021,2021-06-20,75,-1.213,-1.65,0.6,-0.9,313.3,0.429
"Cantlay, Patrick",Torrey Pines (South),2021,2021-06-20,71,1.408,1.33,-0.09,0.12,306.0,0.5
"Cantlay, Patrick",Torrey Pines (South),2021,2021-06-20,69,4.169,1.48,0.8,2.17,307.8,0.286
"Hughes, Mackenzie",Torrey Pines (South),2021,2021-06-20,73,0.718,-0.17,0.37,1.53,300.5,0.286
"Hughes, Mackenzie",Torrey Pines (South),2021,2021-06-20,67,6.787,3.19,1.91,2.58,294.2,0.286
"Hughes, Mackenzie",Torrey Pines (South),2021,2021-06-20,68,4.408,1.77,1.01,0.99,307.6,0.643
"Hughes, Mackenzie",Torrey Pines (South),2021,2021-06-20,77,-3.831,-1.04,-1.31,-1.44,300.9,0.5
"Wolff, Matthew",Torrey Pines (South),2021,2021-06-20,70,3.718,2.73,-0.95,0.43,319.7,0.429
"Wolff, Matthew",Torrey Pines (South),2021,2021-06-20,68,5.787,1.6,0.1,2.1,328.5,0.429
"Wolff, Matthew",Torrey Pines (South),2021,2021-06-20,73,-0.592,-1.79,-0.47,1.65,321.6,0.214
