Player Name,SG Putt,SG Arg,SG App,SG Ott,SG Total,Driving Acc,Driving Dist
"Scheffler, Scottie",-0.102,0.329,1.388,0.978,2.593,0.042,10.82
"Rahm, Jon",0.234,0.154,0.925,0.827,2.14,0.004,15.488
"McIlroy, Rory",0.2,0.131,0.657,1.128,2.117,-0.007,23.9
"Schauffele, Xander",0.42,0.241,0.837,0.497,1.995,0.016,7.982
"Hovland, Viktor",0.327,0.035,0.673,0.822,1.857,0.037,10.254
"Morikawa, Collin",0.141,0.15,0.913,0.61,1.814,0.084,0.299
"Niemann, Joaquin",0.18,0.115,0.656,0.847,1.797,-0.002,15.149
"Cantlay, Patrick",0.241,0.223,0.687,0.605,1.757,0.029,7.48
"Burns, Sam",0.556,0.059,0.383,0.646,1.645,-0.004,14.025
"Fleetwood, Tommy",0.251,0.236,0.573,0.439,1.499,0.054,3.552
"Aberg, Ludvig",0.264,0.082,0.502,0.643,1.491,-0.001,13.687
"Finau, Tony",-0.178,0.177,0.934,0.521,1.454,0.012,8.049
"Hatton, Tyrrell",0.275,0.215,0.639,0.307,1.435,0.0,5.708
"Young, Cameron",0.128,-0.025,0.579,0.738,1.42,-0.004,14.523
"Thomas, Justin",0.123,0.422,0.619,0.244,1.408,-0.033,9.362
"Homa, Max",0.328,0.166,0.468,0.446,1.408,0.023,6.75
"Spieth, Jordan",0.269,0.408,0.398,0.301,1.376,0.005,5.539
"Fitzpatrick, Matt",0.428,0.271,0.37,0.285,1.354,0.003,5.294
"Lee, Min Woo",0.348,0.311,0.117,0.547,1.323,-0.049,17.902
"An, Byeong Hun",0.046,0.248,0.416,0.611,1.321,-0.046,16.348
"Kim, Tom",0.258,0.08,0.578,0.402,1.318,0.072,-0.613
"Henley, Russell",0.205,0.269,0.483,0.282,1.239,0.093,-6.686
"Conners, Corey",-0.186,-0.06,0.684,0.718,1.156,0.072,2.756
"Poston, J.T.",0.5,0.177,0.354,0.061,1.092,0.019,-2.733
"Hossler, Beau",0.379,0.229,0.212,0.256,1.076,-0.0,2.919
"Im, Sungjae",0.314,0.232,0.22,0.301,1.066,0.03,0.444
"Scott, Adam",0.245,0.056,0.395,0.356,1.051,-0.021,9.012
"Zalatoris, Will",-0.027,0.004,0.584,0.476,1.037,-0.01,9.948
"Noren, Alex",0.382,0.254,0.328,0.071,1.036,0.016,-2.362
"Theegala, Sahith",0.503,0.208,0.224,0.098,1.033,-0.039,6.523
"Kim, Si Woo",-0.148,0.16,0.453,0.558,1.023,0.1,-3.839
"Cole, Eric",0.335,0.134,0.447,0.103,1.019,0.008,-0.675
"Mitchell, Keith",0.005,-0.048,0.315,0.74,1.012,0.018,11.509
"Day, Jason",0.211,0.326,0.243,0.228,1.008,-0.002,5.594
"Hadwin, Adam",0.367,0.116,0.23,0.293,1.007,0.054,-1.806
"Jaeger, Stephan",0.033,0.203,0.348,0.383,0.967,-0.013,8.538
"Hojgaard, Nicolai",0.238,-0.081,0.441,0.365,0.963,-0.056,15.158
"Lowry, Shane",0.094,0.125,0.437,0.305,0.961,0.045,1.431
"Pavon, Matthieu",0.468,0.025,0.316,0.15,0.959,0.003,1.747
"Meronk, Adrian",0.158,-0.102,0.299,0.594,0.95,0.008,9.486
"Hoge, Tom",0.238,-0.076,0.7,0.086,0.948,0.013,-2.353
"Hojgaard, Rasmus",0.601,0.004,0.084,0.247,0.936,-0.046,13.56
"Ghim, Doug",0.01,0.062,0.435,0.429,0.935,0.074,-1.822
"Matsuyama, Hideki",-0.036,0.309,0.533,0.114,0.92,0.004,1.851
"Rai, Aaron",-0.148,0.07,0.52,0.474,0.915,0.125,-6.927
"Kirk, Chris",0.003,0.132,0.494,0.284,0.913,0.027,-0.715
"Van Rooyen, Erik",0.177,-0.183,0.446,0.463,0.902,0.0,6.861
"English, Harris",0.439,0.221,0.088,0.141,0.89,0.039,0.002
"Bradley, Keegan",0.157,0.097,0.382,0.231,0.867,-0.003,6.183
"McCarthy, Denny",0.558,0.258,0.134,-0.089,0.861,0.027,-4.51
"Bezuidenhout, Christiaan",0.437,0.061,0.512,-0.167,0.843,0.021,-8.369
"Straka, Sepp",0.125,-0.102,0.432,0.372,0.828,0.058,1.547
"Clark, Wyndham",0.179,0.088,0.295,0.25,0.811,-0.047,14.09
"Eckroat, Austin",0.124,0.04,0.312,0.32,0.796,0.052,-0.214
"Grillo, Emiliano",0.303,-0.145,0.274,0.359,0.791,0.057,-1.549
"Kitayama, Kurt",-0.066,0.072,0.485,0.265,0.757,-0.044,10.121
"Rodgers, Patrick",0.097,0.135,0.181,0.341,0.754,-0.034,10.871
"List, Luke",-0.076,-0.062,0.511,0.379,0.752,-0.031,8.622
"Svensson, Adam",0.002,0.026,0.367,0.342,0.738,0.048,0.296
"Smith, Cameron",0.498,0.176,0.277,-0.228,0.722,-0.044,1.786
"Burmester, Dean",-0.126,0.122,0.095,0.591,0.681,-0.069,18.553
"Bhatia, Akshay",-0.085,-0.011,0.251,0.512,0.667,0.048,3.058
"Olesen, Thorbjorn",0.209,0.151,0.389,-0.104,0.645,-0.011,0.302
"Schenk, Adam",0.268,0.056,0.126,0.194,0.644,-0.007,5.793
"Thompson, Davis",0.124,0.095,0.23,0.166,0.616,-0.01,6.937
"Yu, Kevin",-0.329,-0.119,0.34,0.685,0.576,0.012,11.744
"Todd, Brendon",0.442,0.302,0.14,-0.32,0.563,0.092,-17.439
"Hisatsune, Ryo",0.196,0.203,0.066,0.099,0.563,0.028,-0.767
"McNealy, Maverick",0.501,0.206,-0.132,-0.013,0.562,-0.036,4.546
"Glover, Lucas",-0.278,0.015,0.588,0.226,0.551,0.088,-6.151
"Pereira, Mito",-0.23,-0.056,0.421,0.409,0.543,0.012,7.671
"Harman, Brian",0.387,0.221,-0.048,-0.02,0.54,0.051,-5.509
"Putnam, Andrew",0.384,0.102,0.249,-0.2,0.535,0.069,-14.192
"Davis, Cameron",0.12,0.038,0.176,0.159,0.492,-0.026,7.967
"Sigg, Greyson",-0.014,0.047,0.352,0.103,0.488,0.034,-4.751
"Hubbard, Mark",0.197,0.104,0.264,-0.079,0.485,0.031,-5.361
"Griffin, Ben",0.424,0.221,0.034,-0.194,0.485,-0.03,-0.414
"Tringale, Cameron",0.07,0.067,0.197,0.123,0.457,0.016,0.219
"Taylor, Nick",0.261,0.092,0.315,-0.212,0.456,0.018,-6.069
"Horschel, Billy",0.356,0.024,-0.029,0.095,0.447,0.027,-1.513
"Fowler, Rickie",0.07,0.146,0.259,-0.035,0.44,-0.012,5.476
"Rose, Justin",0.201,0.092,0.195,-0.056,0.432,0.007,0.092
"Young, Carson",0.007,-0.228,0.309,0.334,0.422,0.066,-4.145
"Reed, Patrick",0.401,0.271,-0.026,-0.239,0.407,-0.003,-3.99
"Herbert, Lucas",0.361,0.036,-0.155,0.152,0.395,-0.038,6.787
"Norrman, Vincent",-0.271,-0.14,0.113,0.683,0.385,-0.006,13.968
"Munoz, Sebastian",-0.062,-0.027,0.185,0.279,0.374,0.056,0.322
"Lee, Kyounghoon",0.105,0.188,0.112,-0.035,0.37,-0.004,0.582
"Pendrith, Taylor",0.042,0.018,0.089,0.219,0.368,-0.048,11.235
"Lawrence, Thriston",0.057,-0.029,0.045,0.29,0.363,0.012,2.005
"Moore, Taylor",0.133,0.065,0.205,-0.044,0.358,-0.036,7.365
"Mckibbin, Tom",0.024,-0.16,-0.023,0.514,0.355,0.031,4.371
"Fox, Ryan",0.186,-0.002,0.095,0.073,0.353,-0.09,12.406
