round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
74,-1.145,0.331,0.759,0.577,1.668,0.523,296.0,0.643,0.611,0.5,67.157,46.906,3.0,5.0
77,0.785,-0.839,-2.798,-1.818,-5.455,-4.67,269.5,0.857,0.389,0.667,55.093,41.565,2.0,7.0
66,3.471,-0.132,1.883,1.107,2.859,6.33,299.4,0.857,0.778,0.857,,32.791,6.0,1.0
74,-2.481,0.87,0.336,-0.096,1.111,-1.37,286.2,0.643,0.722,0.333,53.053,37.699,3.0,5.0
76,1.043,-1.04,-2.892,-0.782,-4.714,-3.67,279.7,0.571,0.444,0.667,46.703,50.638,3.0,3.0
74,0.976,-1.162,0.798,-1.983,-2.346,-1.37,289.0,0.571,0.611,0.444,101.746,35.464,4.0,7.0
76,0.152,-3.337,0.886,0.821,-1.629,-1.477,287.4,0.786,0.556,0.538,85.621,32.875,0.0,2.0
75,-3.104,-0.413,0.201,0.645,0.433,-2.67,305.1,0.571,0.667,0.182,57.332,33.067,2.0,5.0
66,0.39,2.573,1.873,1.493,5.94,6.33,309.0,0.714,0.556,0.636,56.984,25.886,6.0,2.0
74,-1.921,2.195,0.808,-0.559,2.444,0.523,288.5,0.714,0.611,0.667,60.706,27.8,3.0,4.0
73,2.449,-0.145,-1.186,0.405,-0.926,1.523,277.6,0.857,0.556,0.625,77.534,46.312,2.0,2.0
76,0.161,-1.846,-2.357,0.468,-3.735,-3.574,300.0,0.643,0.444,0.6,79.545,52.504,1.0,6.0
68,1.319,0.17,1.111,1.729,3.01,4.33,325.3,0.714,0.722,0.429,40.407,29.448,7.0,2.0
79,-2.182,0.235,-3.818,1.288,-2.295,-4.477,303.8,0.786,0.556,0.5,31.585,49.82,1.0,8.0
77,-0.231,-1.592,-0.014,-0.641,-2.246,-2.477,282.2,0.5,0.5,0.385,45.267,45.034,3.0,4.0
70,-0.782,0.397,1.452,1.262,3.111,2.33,300.1,0.786,0.667,0.583,52.665,32.99,5.0,5.0
70,-0.288,3.659,-1.927,0.886,2.617,2.33,287.8,0.929,0.667,0.778,172.904,40.608,5.0,3.0
72,-0.19,-0.25,1.357,-0.588,0.519,0.33,308.4,0.643,0.722,0.375,43.291,28.867,8.0,5.0
72,0.083,-1.761,2.316,-0.007,0.547,0.63,302.1,0.643,0.611,0.4,41.454,38.725,4.0,4.0
75,-0.162,0.278,-1.284,-1.502,-2.509,-2.67,256.3,0.786,0.611,0.5,104.171,50.797,3.0,7.0
74,1.169,0.817,0.001,-1.465,-0.646,0.523,306.3,0.5,0.611,0.571,32.539,38.796,3.0,6.0
74,-0.263,-0.525,-1.598,0.716,-1.407,-1.67,302.7,0.786,0.5,0.615,32.998,40.539,3.0,8.0
71,2.062,-1.087,0.054,0.601,-0.432,1.63,290.5,0.786,0.611,0.625,8.117,35.34,5.0,5.0
73,-0.543,-0.644,0.014,0.599,-0.031,-0.574,305.6,0.5,0.667,0.545,45.172,44.523,3.0,4.0
76,0.771,-1.627,-0.833,0.212,-2.249,-1.477,288.9,0.786,0.611,0.286,32.014,34.698,3.0,5.0
74,-0.151,-1.605,0.267,-0.086,-1.423,-1.574,297.8,0.571,0.611,0.462,65.228,33.456,2.0,4.0
71,0.53,0.227,0.658,-0.086,0.799,1.33,281.0,0.714,0.667,0.571,86.948,32.48,2.0,3.0
70,0.505,0.165,1.677,0.078,1.921,2.426,306.9,0.5,0.722,0.714,29.028,38.201,0.0,0.0
74,0.947,-0.055,0.141,-0.51,-0.425,0.523,291.8,0.5,0.444,0.545,128.688,28.307,5.0,5.0
72,1.014,1.576,-0.313,0.247,1.509,2.523,285.0,0.786,0.778,0.5,40.22,44.224,5.0,4.0
70,2.904,-0.338,0.004,0.059,-0.274,2.63,275.2,0.929,0.611,0.667,17.25,38.497,2.0,1.0
78,-0.232,-2.315,0.475,-1.405,-3.245,-3.477,273.2,0.643,0.556,0.462,84.797,44.372,2.0,7.0
68,1.518,1.73,1.454,-0.073,3.112,4.63,296.8,0.714,0.667,0.778,35.474,41.8,4.0,3.0
76,-1.956,0.645,-1.612,1.446,0.479,-1.477,309.4,0.643,0.556,0.429,78.388,30.794,3.0,7.0
73,-0.89,-0.421,1.088,-0.448,0.22,-0.67,297.8,0.643,0.556,0.4,69.687,27.695,5.0,8.0
76,0.796,-0.827,-2.077,0.631,-2.274,-1.477,322.0,0.5,0.5,0.538,91.334,30.87,2.0,5.0
78,-1.942,-0.425,-2.373,-0.93,-3.728,-5.67,282.6,0.786,0.444,0.538,46.231,41.018,4.0,6.0
75,-0.528,-1.487,-0.995,0.436,-2.046,-2.574,316.8,0.429,0.5,0.6,58.53,33.9,2.0,4.0
69,-0.056,0.347,1.444,1.595,3.385,3.33,296.7,1.0,0.722,0.571,,30.218,6.0,3.0
72,-2.206,1.557,1.184,0.095,2.836,0.63,295.7,0.643,0.722,0.5,99.585,29.192,2.0,1.0
72,0.169,2.217,-0.394,0.531,2.353,2.523,282.3,0.714,0.556,0.7,42.976,47.17,2.0,1.0
71,-0.372,-1.947,5.201,0.641,3.895,3.523,291.5,0.714,0.722,0.5,31.216,27.038,9.0,3.0
79,0.387,-2.416,-1.876,-0.573,-4.864,-4.477,302.7,0.357,0.5,0.5,75.583,30.376,3.0,6.0
71,0.187,-1.002,0.672,1.473,1.143,1.33,309.8,0.786,0.611,0.625,60.297,27.125,5.0,2.0
72,-0.632,1.179,-1.615,1.398,0.962,0.33,310.2,0.714,0.611,0.714,39.233,30.948,1.0,4.0
75,-1.11,-0.236,0.286,-1.61,-1.561,-2.67,292.9,0.643,0.556,0.5,60.491,35.732,0.0,5.0
75,-1.586,0.417,-1.024,-0.478,-1.085,-2.67,310.0,0.643,0.556,0.625,71.909,35.225,5.0,8.0
72,0.496,2.468,0.516,-0.958,2.027,2.523,287.4,0.429,0.611,0.375,88.691,31.503,5.0,3.0
70,0.392,1.208,2.551,0.371,4.13,4.523,285.2,0.714,0.722,0.8,42.411,33.01,8.0,4.0
71,0.326,0.237,1.368,-0.301,1.303,1.63,306.6,0.571,0.611,0.571,68.852,28.636,5.0,2.0
75,-0.038,-1.782,-1.738,1.187,-2.332,-2.37,306.5,0.714,0.722,0.286,23.033,29.81,7.0,5.0
74,-3.469,-0.912,3.595,-0.584,2.099,-1.37,284.9,0.786,0.722,0.5,43.156,25.478,2.0,4.0
72,1.918,0.301,-2.1,0.21,-1.588,0.33,288.3,0.714,0.556,0.583,95.84,34.958,3.0,3.0
70,0.591,0.322,0.258,1.158,1.738,2.33,302.1,0.786,0.722,0.667,73.43,31.397,5.0,2.0
67,2.024,-0.965,2.862,1.407,3.305,5.33,322.7,0.571,0.833,0.429,41.3,23.98,7.0,1.0
70,1.538,-0.108,1.994,1.099,2.985,4.523,302.0,0.643,0.778,0.571,35.775,38.183,6.0,2.0
73,1.149,1.298,-1.545,0.62,0.374,1.523,297.7,0.786,0.5,0.714,75.728,49.348,5.0,6.0
71,0.399,0.254,1.303,-0.626,0.931,1.33,287.8,0.714,0.833,0.667,36.54,42.443,3.0,6.0
69,-0.922,0.148,3.012,1.092,4.252,3.33,295.0,0.929,0.722,0.625,,22.006,3.0,2.0
74,-1.865,0.336,0.013,2.038,2.387,0.523,299.8,0.857,0.722,0.571,51.3,35.28,2.0,3.0
72,1.252,0.165,-0.78,-0.007,-0.622,0.63,295.3,0.714,0.667,0.5,82.073,49.088,4.0,6.0
69,3.007,0.922,0.59,1.004,2.515,5.523,290.5,0.786,0.722,0.833,103.611,41.644,6.0,3.0
70,0.107,2.031,-0.054,0.342,2.319,2.426,300.1,0.714,0.611,0.778,91.536,35.257,3.0,4.0
72,2.593,0.274,-1.208,-1.232,-2.167,0.426,286.7,0.571,0.5,0.7,115.798,35.404,3.0,5.0
75,1.045,-3.184,0.79,0.871,-1.522,-0.477,283.9,0.857,0.611,0.375,121.542,35.022,3.0,6.0
73,-0.287,-0.571,1.425,-1.141,-0.288,-0.574,297.1,0.5,0.722,0.5,44.784,34.814,1.0,3.0
72,1.128,-0.303,-0.801,0.402,-0.702,0.426,293.7,0.643,0.556,0.556,91.978,40.812,2.0,4.0
82,-2.539,-3.618,-2.38,1.059,-4.939,-7.477,306.4,0.786,0.5,0.167,68.506,35.881,4.0,9.0
74,-1.913,1.492,-0.264,1.208,2.436,0.523,282.5,0.857,0.722,0.4,126.294,39.261,4.0,3.0
69,-0.075,2.2,0.144,1.158,3.501,3.426,288.9,0.857,0.667,0.625,139.053,28.571,4.0,2.0
69,-0.919,1.29,1.686,1.272,4.248,3.33,314.0,0.857,0.833,0.75,,29.377,6.0,5.0
69,2.018,0.447,0.485,0.68,1.611,3.63,297.5,0.714,0.611,0.667,46.203,40.231,4.0,3.0
70,1.601,0.919,-0.457,0.267,0.728,2.33,293.6,0.643,0.778,0.4,96.539,30.06,4.0,2.0
